Japanese government data,,,,,HMD Cause of death data,,,,,Differences in rate
agegroup,sex,year,rate,,agegroup,sex,year,rate,,Diff
80 to 84,both,2003,32.3,,80 to 84,both,2003,33.7,,1.4
80 to 84,both,2004,33.1,,80 to 84,both,2004,34.6,,1.5
80 to 84,both,2005,30.5,,80 to 84,both,2005,31.9,,1.4
80 to 84,both,2006,28.6,,80 to 84,both,2006,30,,1.4
80 to 84,both,2007,30.6,,80 to 84,both,2007,32.1,,1.5
80 to 84,both,2008,28.4,,80 to 84,both,2008,29.8,,1.4
80 to 84,both,2009,27.3,,80 to 84,both,2009,28.6,,1.3
80 to 84,both,2010,26.2,,80 to 84,both,2010,27.5,,1.3
80 to 84,both,2011,25.9,,80 to 84,both,2011,27.2,,1.3
80 to 84,both,2012,25.1,,80 to 84,both,2012,26.5,,1.4
80 to 84,both,2013,25.5,,80 to 84,both,2013,26.8,,1.3
80 to 84,both,2014,24.9,,80 to 84,both,2014,26.2,,1.3
80 to 84,both,2015,24.6,,80 to 84,both,2015,26.1,,1.5
80 to 84,both,2016,21,,80 to 84,both,2016,22.3,,1.3
80 to 84,both,2017,21,,80 to 84,both,2017,22.3,,1.3
80 to 84,both,2018,20.7,,80 to 84,both,2018,22,,1.3
80 to 84,both,2019,19.6,,80 to 84,both,2019,21,,1.4
85 to 89,both,2000,47.1,,85 to 89,both,2000,50.6,,3.5
85 to 89,both,2001,45.8,,85 to 89,both,2001,49.2,,3.4
85 to 89,both,2002,41.4,,85 to 89,both,2002,44.2,,2.8
85 to 89,both,2003,40.9,,85 to 89,both,2003,43.3,,2.4
85 to 89,both,2004,37.4,,85 to 89,both,2004,39.3,,1.9
85 to 89,both,2005,33.8,,85 to 89,both,2005,36.5,,2.7
85 to 89,both,2006,35.4,,85 to 89,both,2006,37.9,,2.5
85 to 89,both,2007,36.5,,85 to 89,both,2007,39.2,,2.7
85 to 89,both,2008,32.5,,85 to 89,both,2008,35,,2.5
85 to 89,both,2009,30.6,,85 to 89,both,2009,33.1,,2.5
85 to 89,both,2010,29.1,,85 to 89,both,2010,31.4,,2.3
85 to 89,both,2011,29.4,,85 to 89,both,2011,32,,2.6
85 to 89,both,2012,26.1,,85 to 89,both,2012,28.6,,2.5
85 to 89,both,2013,27,,85 to 89,both,2013,29.8,,2.8
85 to 89,both,2014,24.2,,85 to 89,both,2014,26.8,,2.6
85 to 89,both,2015,23.1,,85 to 89,both,2015,25.5,,2.4
85 to 89,both,2016,21.2,,85 to 89,both,2016,23.6,,2.4
85 to 89,both,2017,19.5,,85 to 89,both,2017,21.8,,2.3
85 to 89,both,2018,20.2,,85 to 89,both,2018,22.6,,2.4
85 to 89,both,2019,18.6,,85 to 89,both,2019,20.9,,2.3
90 to 94,both,2000,47.8,,90 to 94,both,2000,54.5,,6.7
90 to 94,both,2001,42.4,,90 to 94,both,2001,50.1,,7.7
90 to 94,both,2002,44.3,,90 to 94,both,2002,54.3,,10
90 to 94,both,2003,38.9,,90 to 94,both,2003,44.1,,5.2
90 to 94,both,2004,34.8,,90 to 94,both,2004,42.8,,8
90 to 94,both,2005,37.6,,90 to 94,both,2005,42.8,,5.2
90 to 94,both,2006,34.8,,90 to 94,both,2006,39.8,,5
90 to 94,both,2007,37.7,,90 to 94,both,2007,43.1,,5.4
90 to 94,both,2008,33.4,,90 to 94,both,2008,38.4,,5
90 to 94,both,2009,32.3,,90 to 94,both,2009,36.9,,4.6
90 to 94,both,2010,31.5,,90 to 94,both,2010,36.2,,4.7
90 to 94,both,2011,28.8,,90 to 94,both,2011,33.1,,4.3
90 to 94,both,2012,27.7,,90 to 94,both,2012,32.3,,4.6
90 to 94,both,2013,28.2,,90 to 94,both,2013,33.2,,5
90 to 94,both,2014,23.3,,90 to 94,both,2014,27.8,,4.5
90 to 94,both,2015,22.9,,90 to 94,both,2015,26.9,,4
90 to 94,both,2016,20.6,,90 to 94,both,2016,24.6,,4
90 to 94,both,2017,19.3,,90 to 94,both,2017,23.4,,4.1
90 to 94,both,2018,17.5,,90 to 94,both,2018,21.4,,3.9
90 to 94,both,2019,16.6,,90 to 94,both,2019,20.2,,3.6
95 to 99,both,2000,,,95 to 99,both,2000,62,,
95 to 99,both,2001,,,95 to 99,both,2001,49.2,,
95 to 99,both,2002,,,95 to 99,both,2002,44.2,,
95 to 99,both,2003,,,95 to 99,both,2003,52.5,,
95 to 99,both,2004,...,,95 to 99,both,2004,33.3,,
95 to 99,both,2005,31.2,,95 to 99,both,2005,38.4,,7.2
95 to 99,both,2006,25.1,,95 to 99,both,2006,31.2,,6.1
95 to 99,both,2007,28.1,,95 to 99,both,2007,35.4,,7.3
95 to 99,both,2008,23.2,,95 to 99,both,2008,30.1,,6.9
95 to 99,both,2009,23.7,,95 to 99,both,2009,31.4,,7.7
95 to 99,both,2010,27.9,,95 to 99,both,2010,33.4,,5.5
95 to 99,both,2011,24.7,,95 to 99,both,2011,30.6,,5.9
95 to 99,both,2012,23.9,,95 to 99,both,2012,,,
95 to 99,both,2013,23.7,,95 to 99,both,2013,,,
95 to 99,both,2014,21.9,,95 to 99,both,2014,,,
95 to 99,both,2015,20.2,,95 to 99,both,2015,,,
95 to 99,both,2016,13.9,,95 to 99,both,2016,,,
95 to 99,both,2017,19.8,,95 to 99,both,2017,,,
95 to 99,both,2018,13.9,,95 to 99,both,2018,,,
95 to 99,both,2019,10.5,,95 to 99,both,2019,,,
100+,both,2000,,,100+,both,2000,51.8,,
100+,both,2001,,,100+,both,2001,18.4,,
100+,both,2002,,,100+,both,2002,7.6,,
100+,both,2003,,,100+,both,2003,32.7,,
100+,both,2004,...,,100+,both,2004,23.2,,
100+,both,2005,31.5,,100+,both,2005,41.3,,9.8
100+,both,2006,27.6,,100+,both,2006,39.3,,11.7
100+,both,2007,20,,100+,both,2007,30,,10
100+,both,2008,9.8,,100+,both,2008,15.6,,5.8
100+,both,2009,25,,100+,both,2009,40,,15
100+,both,2010,11.4,,100+,both,2010,16.1,,4.7
100+,both,2011,10.6,,100+,both,2011,14.3,,3.7
100+,both,2012,13.7,,100+,both,2012,,,
100+,both,2013,7.3,,100+,both,2013,,,
100+,both,2014,11.7,,100+,both,2014,,,
100+,both,2015,21.1,,100+,both,2015,,,
100+,both,2016,13.8,,100+,both,2016,,,
100+,both,2017,17.9,,100+,both,2017,,,
100+,both,2018,17.4,,100+,both,2018,,,
100+,both,2019,4.3,,100+,both,2019,,,
